district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
NJ03,2016,734551,49.1,50.9,4.9,5.8,6.3,6.2,6.2,11.3,12.1,15.1,7.7,6.1,9.8,5.7,2.7,43.0,79.0,75.6,21.7,18.3,48.4,51.6,43.7,56.3,75.5,9.8,0.0,3.7,0.0,0.4,7.7,312039
NJ04,2016,748864,48.1,51.9,6.7,6.3,6.7,6.6,5.8,10.8,11.0,15.0,7.4,6.0,9.3,5.3,3.1,41.6,75.8,72.5,21.2,17.6,47.2,52.8,41.0,59.0,78.2,6.3,0.0,3.9,0.0,0.1,9.8,299770
NJ05,2016,745147,49.1,50.9,5.0,6.1,6.9,6.8,6.1,9.9,12.4,16.8,7.7,6.4,9.0,4.6,2.3,43.0,77.8,74.0,19.5,15.8,48.5,51.5,44.4,55.6,69.2,4.9,0.1,10.9,0.0,0.4,13.6,283618
NJ06,2016,748924,49.2,50.8,5.9,6.3,6.5,6.7,7.5,14.2,13.7,14.8,6.3,5.6,7.4,3.3,1.9,36.9,77.8,72.7,15.6,12.5,49.0,51.0,43.2,56.8,48.4,9.4,0.1,18.7,0.0,0.3,21.7,273497
NJ07,2016,748182,48.7,51.3,5.0,6.1,7.7,7.4,5.7,9.1,13.1,17.4,7.8,6.2,8.3,4.0,2.2,42.4,76.4,73.0,18.3,14.6,47.9,52.1,43.0,57.0,71.9,4.9,0.1,9.8,0.0,0.2,12.2,281504
NJ08,2016,762249,50.7,49.3,7.0,5.7,5.3,5.6,7.0,20.5,15.4,13.4,5.4,4.5,5.7,3.0,1.4,34.4,78.6,74.9,12.7,10.1,50.2,49.8,42.0,58.0,24.8,8.5,0.1,9.5,0.0,1.2,54.9,304819
NJ09,2016,759352,48.5,51.5,6.6,6.3,6.5,6.3,6.3,14.4,14.2,13.6,6.3,5.7,7.5,4.1,2.0,37.2,76.6,73.1,17.0,13.6,47.8,52.2,41.4,58.6,40.4,9.3,0.2,12.4,0.0,0.3,36.1,283719
NJ10,2016,742855,47.4,52.6,7.3,6.6,6.2,6.4,7.8,14.7,14.2,13.7,6.2,5.8,6.5,3.2,1.4,35.6,76.3,71.8,14.5,11.1,46.5,53.5,39.9,60.1,20.5,52.3,0.2,6.3,0.0,0.5,18.9,302278
NJ11,2016,739014,48.1,51.9,5.0,5.9,6.5,6.5,5.5,10.4,12.9,16.3,7.6,6.1,9.1,5.2,2.8,43.2,78.3,75.0,20.4,17.1,47.7,52.3,42.5,57.5,74.2,3.5,0.1,9.9,0.0,0.2,10.6,279324
NJ12,2016,742832,49.2,50.8,5.8,6.2,6.1,6.4,6.2,13.1,14.1,14.4,7.3,6.0,7.8,4.6,2.0,39.5,78.0,74.3,17.8,14.5,48.4,51.6,42.1,57.9,48.1,16.5,0.2,16.5,0.1,0.9,16.2,289155
