district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
AL01,2018,713410,48.2,51.8,6.0,6.0,6.7,6.3,5.9,12.9,11.9,12.9,6.9,7.1,10.7,5.0,1.7,40.0,77.2,73.5,21.7,17.4,47.3,52.7,44.5,55.5,65.0,27.8,0.9,1.5,0.0,0.3,3.1,339357
AL02,2018,673776,48.8,51.2,6.0,6.1,6.6,6.9,6.6,13.0,12.7,12.8,7.3,5.8,9.4,5.0,1.7,38.5,77.4,72.7,19.6,16.1,47.7,52.3,43.8,56.2,62.0,30.6,0.3,1.0,0.0,0.2,3.6,313057
AL03,2018,710488,48.8,51.2,5.7,6.2,6.4,6.8,7.6,13.0,12.0,12.9,6.6,6.4,10.1,4.7,1.7,38.1,78.0,72.9,20.1,16.5,47.8,52.2,44.1,55.9,67.2,26.3,0.2,1.6,0.0,0.1,2.9,333318
AL04,2018,685553,48.6,51.4,6.1,6.5,6.4,6.8,5.8,11.7,12.1,12.9,6.8,6.7,10.8,5.5,1.7,40.7,77.0,73.0,22.1,18.1,48.3,51.7,43.4,56.6,83.0,7.1,0.7,0.6,0.0,0.1,6.7,316637
AL05,2018,718713,49.2,50.8,5.7,5.8,6.3,6.6,6.7,13.2,12.3,13.6,7.1,6.5,9.6,5.0,1.6,39.5,78.2,74.6,19.9,16.2,48.4,51.6,43.9,56.1,72.2,17.8,0.7,1.8,0.1,0.2,5.2,320117
AL06,2018,700401,47.7,52.3,6.0,6.2,7.2,6.7,6.0,12.3,13.3,13.4,6.5,6.6,9.2,4.6,1.9,39.1,76.5,72.6,19.8,15.8,47.2,52.8,42.8,57.2,75.9,15.7,0.2,1.9,0.0,0.1,4.5,299457
AL07,2018,672406,47.7,52.3,5.9,6.0,5.6,8.2,8.3,14.2,11.4,12.0,6.1,7.0,9.3,4.4,1.6,36.3,78.4,72.4,19.4,15.2,46.4,53.6,41.3,58.7,31.7,63.0,0.1,0.9,0.1,0.2,3.0,336726
AK01,2018,739795,52.1,47.9,7.2,7.4,6.6,6.5,7.3,16.0,13.1,12.0,6.6,6.1,7.7,2.7,0.8,34.5,75.0,71.1,14.6,11.2,52.6,47.4,50.0,50.0,60.6,2.9,14.2,6.6,1.2,0.2,7.0,316968
AZ01,2018,765810,50.5,49.5,5.8,6.3,7.5,8.1,7.0,12.2,11.6,10.7,6.5,6.3,10.7,5.7,1.6,37.6,76.2,70.7,22.0,18.0,50.2,49.8,47.8,52.2,47.9,2.3,21.8,1.6,0.5,0.0,23.6,338585
AZ02,2018,720429,49.5,50.5,5.8,6.0,5.1,5.4,7.5,12.8,10.8,11.6,6.2,7.0,12.2,6.8,2.8,41.4,79.7,76.1,26.0,21.8,49.1,50.9,46.0,54.0,60.5,3.7,1.1,3.2,0.2,0.1,28.9,350528
AZ03,2018,773297,50.0,50.0,7.0,7.1,7.8,8.7,9.0,14.1,13.2,11.1,5.4,5.1,7.1,3.2,1.2,31.8,73.4,67.1,14.3,11.5,49.7,50.3,44.8,55.2,25.7,3.9,3.7,1.7,0.3,0.3,63.0,273572
AZ04,2018,771214,50.4,49.6,4.9,5.4,5.7,5.5,4.6,10.5,9.9,11.5,6.7,7.7,16.2,9.0,2.4,48.1,80.9,77.7,32.5,27.6,50.4,49.6,48.7,51.3,74.0,1.5,1.4,1.4,0.0,0.0,19.2,400938
AZ05,2018,822497,48.8,51.2,6.3,7.2,8.0,7.2,4.6,12.1,13.8,13.3,6.0,4.9,9.4,5.3,1.9,38.0,73.7,70.3,19.7,16.6,47.4,52.6,44.2,55.8,70.6,3.0,0.9,4.3,0.1,0.1,18.3,335679
AZ06,2018,783087,49.0,51.0,5.7,5.2,6.0,5.3,5.2,13.9,12.1,13.4,7.7,7.1,10.6,5.7,2.1,42.3,79.5,76.9,22.6,18.4,48.4,51.6,45.7,54.3,71.7,2.3,1.7,5.2,0.1,0.1,16.6,363447
AZ07,2018,833654,50.1,49.9,8.5,7.8,8.5,8.4,8.3,16.5,13.2,11.9,4.9,4.4,4.8,2.1,0.8,29.7,70.5,65.2,10.3,7.7,50.3,49.7,46.6,53.4,18.4,10.0,2.1,2.5,0.2,0.2,64.3,268990
AZ08,2018,777208,48.0,52.0,5.3,5.6,6.6,5.4,5.7,11.9,12.1,13.4,6.3,5.8,12.2,6.9,2.8,43.1,79.1,75.8,25.3,22.0,47.4,52.6,44.4,55.6,69.3,3.9,0.7,4.1,0.2,0.2,19.4,326812
AZ09,2018,769074,51.2,48.8,6.3,5.6,6.0,6.9,9.2,18.2,13.3,12.0,6.0,5.0,7.3,3.0,1.3,33.5,78.5,73.3,14.4,11.5,51.1,48.9,45.0,55.0,56.0,6.2,2.2,4.9,0.3,0.6,27.4,340634
AR01,2018,722287,49.8,50.2,6.1,6.0,6.8,6.9,5.9,12.0,12.3,12.7,6.5,6.6,10.5,5.9,1.7,39.7,76.8,73.0,22.0,18.1,49.5,50.5,45.2,54.8,75.5,17.0,0.3,0.7,0.0,0.1,3.2,343260
AR02,2018,765193,48.6,51.4,6.3,7.0,6.1,6.5,6.9,13.8,12.6,12.6,6.6,6.0,9.3,4.2,1.9,37.4,76.7,72.5,18.8,15.4,47.7,52.3,44.3,55.7,67.6,22.8,0.2,1.6,0.0,0.4,5.3,342372
AR03,2018,807421,49.7,50.3,6.6,7.0,7.1,7.4,7.3,13.8,13.1,12.1,5.8,5.7,8.4,4.1,1.6,35.5,75.1,70.3,17.5,14.1,49.1,50.9,44.4,55.6,74.7,2.8,1.0,3.0,0.8,0.3,14.6,336959
AR04,2018,709378,48.9,51.1,5.7,6.5,6.5,7.0,6.4,11.1,11.3,12.7,7.0,6.7,10.9,6.2,2.0,40.8,77.2,72.8,23.0,19.1,47.8,52.2,44.2,55.8,71.6,19.1,0.7,0.7,0.2,0.1,5.9,347518
CA01,2018,718214,50.4,49.6,5.2,5.5,5.8,6.0,6.9,12.3,10.9,11.7,7.1,7.7,12.5,6.0,2.4,42.3,80.1,76.1,25.7,20.9,50.0,50.0,46.2,53.8,76.3,1.8,1.7,2.8,0.2,0.1,14.0,330193
CA02,2018,717999,49.5,50.5,4.8,5.8,5.7,6.2,5.3,10.3,12.7,13.6,7.8,7.2,12.5,5.7,2.3,44.3,80.1,76.2,24.9,20.6,49.0,51.0,45.7,54.3,70.4,1.3,1.7,3.9,0.3,0.9,17.7,322256
CA03,2018,750271,50.3,49.7,6.2,6.6,6.8,7.5,8.5,14.3,12.0,11.8,6.2,6.1,8.4,4.1,1.5,35.2,76.6,70.8,17.1,14.0,50.0,50.0,46.7,53.3,46.6,5.9,0.8,11.4,0.5,0.2,30.3,272320
CA04,2018,748410,49.7,50.3,4.7,6.0,6.3,5.9,5.3,10.5,11.7,13.3,7.7,7.8,12.2,6.3,2.2,44.6,79.2,76.2,25.2,20.8,49.1,50.9,46.8,53.2,75.1,1.2,0.9,5.3,0.1,0.1,13.8,361353
CA05,2018,732438,48.6,51.4,5.2,5.9,5.7,6.0,6.3,14.1,12.4,12.8,6.8,7.4,10.5,4.8,2.1,40.2,79.6,76.0,21.7,17.4,47.9,52.1,44.1,55.9,48.5,5.9,0.5,11.1,0.5,0.8,29.2,287187
CA06,2018,764344,48.8,51.2,7.3,7.3,6.5,5.5,6.8,17.5,13.6,11.3,6.2,5.6,7.0,3.7,1.6,34.4,75.6,72.4,15.7,12.3,48.0,52.0,43.0,57.0,36.5,12.5,0.3,15.6,1.6,0.3,27.6,292317
CA07,2018,750860,48.9,51.1,5.8,6.3,6.4,6.8,6.0,14.1,12.8,14.2,6.2,6.3,9.2,4.2,1.9,38.7,77.0,73.5,19.1,15.3,48.1,51.9,43.0,57.0,52.3,6.3,0.3,15.3,0.9,0.2,18.3,275316
CA08,2018,721449,49.9,50.1,7.7,7.5,7.6,7.4,7.1,13.5,11.9,12.0,6.4,5.3,8.0,3.9,1.5,34.2,72.7,68.3,16.9,13.5,49.2,50.8,47.0,53.0,42.9,6.6,0.9,3.3,0.5,0.1,43.0,300582
