district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
AL01,2014,695176,48.4,51.6,6.2,6.5,7.0,6.5,6.9,12.6,12.2,13.5,6.9,6.2,9.1,4.5,1.9,38.5,76.3,72.5,19.5,15.5,47.7,52.3,43.6,56.4,65.4,27.9,0.7,1.4,0.0,0.0,3.0,326125
AL02,2014,690074,48.6,51.4,6.0,6.7,7.0,6.5,7.1,13.1,12.5,13.6,6.6,5.9,8.7,4.8,1.6,37.9,76.5,72.1,18.4,15.1,47.7,52.3,43.0,57.0,62.6,31.1,0.3,1.0,0.0,0.1,3.2,310496
AL03,2014,697761,48.9,51.1,6.0,6.0,6.5,7.2,8.7,12.5,12.6,13.1,6.8,6.2,8.7,4.1,1.6,37.4,77.8,72.1,18.1,14.4,48.2,51.8,43.1,56.9,68.3,25.5,0.2,1.5,0.0,0.2,2.7,318694
AL04,2014,685175,48.6,51.4,6.0,6.2,6.8,6.1,6.5,11.8,12.9,13.8,6.8,6.5,9.8,5.0,1.8,40.3,77.3,73.9,20.6,16.7,48.2,51.8,43.5,56.5,83.8,7.3,0.7,0.6,0.0,0.0,6.2,310413
AL05,2014,701220,49.0,51.0,5.9,5.7,6.9,6.9,7.2,12.5,12.5,14.9,7.2,5.5,8.6,4.6,1.6,38.7,77.5,73.4,17.8,14.8,48.5,51.5,43.3,56.7,73.4,17.2,0.6,1.7,0.0,0.2,4.9,307189
AL06,2014,697436,48.0,52.0,5.9,6.9,7.1,6.5,5.7,13.2,14.0,13.8,6.7,5.9,8.5,4.4,1.5,38.7,76.1,72.6,17.7,14.4,47.2,52.8,42.4,57.6,76.7,14.9,0.3,1.6,0.0,0.1,5.0,295253
AL07,2014,666880,47.6,52.4,6.4,5.8,6.3,8.0,9.4,13.1,11.4,13.0,6.7,6.2,7.4,4.3,2.0,35.7,77.7,71.0,17.5,13.7,46.4,53.6,40.6,59.4,32.6,62.9,0.1,0.6,0.1,0.3,2.4,321857
AK01,2014,735132,52.6,47.4,7.4,6.9,7.2,7.2,8.3,15.5,12.2,13.8,7.2,5.4,5.9,2.3,0.8,33.1,74.4,69.5,11.9,8.9,52.8,47.2,49.8,50.2,62.5,3.3,13.9,5.6,1.2,0.1,6.6,307417
AZ01,2014,723969,50.8,49.2,6.5,7.1,7.0,7.5,7.5,12.3,11.8,11.5,6.6,6.1,9.9,4.8,1.4,36.5,75.3,70.5,19.7,16.1,50.6,49.4,47.9,52.1,50.4,2.0,22.5,1.3,0.2,0.1,21.4,327095
AZ02,2014,717970,49.1,50.9,5.8,6.0,5.5,6.0,8.3,13.0,11.1,12.4,6.9,6.0,10.3,6.4,2.4,40.2,79.3,74.8,22.7,19.0,48.9,51.1,44.4,55.6,62.5,4.0,0.9,3.0,0.2,0.2,26.5,343355
AZ03,2014,722963,50.5,49.5,6.9,7.6,8.1,8.9,9.5,13.5,12.6,11.9,5.4,5.1,6.5,3.0,0.9,31.7,72.3,66.5,13.6,10.4,49.7,50.3,45.5,54.5,28.1,4.3,3.1,1.6,0.1,0.2,61.3,266994
AZ04,2014,732689,50.5,49.5,5.4,6.0,6.5,5.4,4.8,10.4,10.6,12.4,7.3,7.3,14.4,7.5,2.1,46.1,78.8,75.8,28.5,24.0,50.0,50.0,49.3,50.7,74.4,1.9,1.5,0.9,0.3,0.0,19.1,386637
AZ05,2014,759102,49.1,50.9,7.4,8.1,7.5,6.7,5.2,11.9,14.3,13.2,5.2,5.5,8.0,5.0,2.0,37.3,72.6,69.3,18.3,15.0,48.2,51.8,45.5,54.5,71.9,2.9,0.8,5.3,0.2,0.0,16.9,308174
AZ06,2014,737884,49.4,50.6,5.2,6.2,6.1,5.6,6.1,13.3,12.8,14.6,7.2,6.6,9.8,4.5,2.0,41.2,78.9,75.9,20.2,16.3,48.7,51.3,45.4,54.6,73.6,2.8,1.3,3.9,0.0,0.2,15.8,353615
AZ07,2014,749222,50.7,49.3,8.7,9.5,8.4,8.5,8.9,16.3,14.3,11.5,4.3,3.5,3.9,1.6,0.7,28.4,68.4,62.9,8.5,6.3,50.6,49.4,43.2,56.8,20.1,9.4,2.3,1.8,0.2,0.1,64.6,254520
AZ08,2014,741374,47.5,52.5,5.9,6.5,6.6,6.1,5.2,11.3,12.4,12.7,6.0,6.2,11.8,6.6,2.9,42.0,77.1,73.8,25.1,21.2,47.1,52.9,45.1,54.9,71.4,3.4,0.9,3.1,0.1,0.0,18.4,328064
AZ09,2014,741451,50.4,49.6,6.5,5.8,5.9,7.0,10.2,17.7,13.2,13.1,5.8,4.7,5.6,2.9,1.6,32.9,78.0,72.8,12.5,10.2,50.3,49.7,43.8,56.2,56.6,4.9,2.2,4.6,0.4,0.1,28.4,323905
AR01,2014,729971,50.1,49.9,6.2,7.1,6.4,6.6,6.2,12.1,12.4,13.4,6.6,6.3,9.6,5.3,1.9,39.3,76.4,72.7,20.4,16.7,49.1,50.9,44.5,55.5,76.5,18.0,0.4,0.4,0.0,0.0,3.2,335806
AR02,2014,751463,48.7,51.3,6.5,6.6,6.8,6.4,7.4,14.7,12.4,13.0,6.5,5.5,8.2,4.2,1.8,36.4,76.2,72.2,17.7,14.2,47.7,52.3,43.5,56.5,69.3,21.6,0.2,1.4,0.0,0.1,5.0,331742
AR03,2014,757765,49.5,50.5,7.1,7.7,6.8,6.7,8.0,13.8,12.8,12.5,5.9,5.5,7.6,4.1,1.5,34.9,74.7,70.1,16.1,13.2,49.0,51.0,44.5,55.5,76.2,3.3,1.1,2.8,0.0,0.2,13.6,320134
AR04,2014,720174,49.3,50.7,5.9,7.0,6.5,6.9,6.1,11.1,12.2,13.6,6.9,6.5,9.9,5.4,2.0,40.7,76.6,72.3,20.9,17.3,48.2,51.8,44.2,55.8,72.4,19.8,0.5,0.6,0.0,0.1,5.4,342095
CA01,2014,707992,50.6,49.4,5.0,5.9,5.7,6.5,7.9,11.2,10.5,13.3,7.8,7.2,10.7,5.6,2.6,42.4,79.6,75.2,23.0,18.9,49.9,50.1,46.5,53.5,78.1,1.4,1.3,2.6,0.2,0.0,12.9,320474
CA02,2014,713816,50.2,49.8,5.4,5.8,5.9,6.0,5.5,11.1,12.7,14.3,8.2,7.7,10.2,5.1,2.1,43.1,79.5,75.4,21.9,17.4,49.6,50.4,45.6,54.4,71.2,1.3,1.8,3.6,0.2,0.6,17.8,319742
CA03,2014,714407,50.3,49.7,6.5,7.3,6.8,7.7,9.4,13.1,12.2,13.0,6.1,5.4,7.2,3.8,1.5,34.4,75.5,69.7,15.5,12.4,49.7,50.3,45.4,54.6,48.9,6.3,0.9,10.2,0.5,0.1,28.8,261538
CA04,2014,703377,49.6,50.4,5.0,6.3,6.1,6.1,5.5,10.5,11.7,14.6,8.1,7.3,11.2,5.4,2.2,43.8,78.8,75.2,23.0,18.8,49.4,50.6,46.5,53.5,77.4,1.1,0.8,4.5,0.1,0.1,12.3,350509
CA05,2014,715332,48.9,51.1,5.6,5.4,6.1,6.4,7.1,13.4,12.2,14.4,7.4,6.7,8.9,4.1,2.3,40.2,79.0,75.1,19.2,15.3,48.3,51.7,43.7,56.3,52.3,5.7,0.6,10.3,0.4,0.1,27.0,284588
CA06,2014,729428,48.8,51.2,7.4,7.4,6.3,6.5,8.1,16.7,12.8,12.4,6.4,4.6,6.2,3.4,1.7,33.5,75.0,70.6,13.8,11.3,48.2,51.8,43.9,56.1,38.4,11.9,0.4,15.7,1.2,0.2,27.1,283368
CA07,2014,721042,49.2,50.8,6.2,6.4,7.3,6.8,6.4,13.3,13.5,14.3,6.4,5.8,7.7,4.2,1.7,37.8,75.6,72.0,17.0,13.7,48.3,51.7,42.3,57.7,55.1,7.3,0.5,14.3,0.8,0.1,17.2,273331
CA08,2014,709384,49.8,50.2,7.4,7.5,7.4,7.6,7.5,14.3,11.5,12.9,6.6,5.1,7.2,3.5,1.5,33.7,72.9,68.2,15.0,12.2,49.6,50.4,46.9,53.1,46.8,7.6,0.9,2.4,0.3,0.0,39.9,305316
CA09,2014,724907,48.9,51.1,7.1,7.8,8.3,7.6,7.3,12.6,12.8,13.0,6.3,5.0,7.1,3.5,1.6,34.5,72.2,67.7,14.9,12.1,48.3,51.7,44.1,55.9,35.9,8.1,0.3,14.3,0.4,0.1,37.4,244230
