District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
GA14,Tom Graves,"$736,722 ",Unopposed,$0 ,More than 10:1
CA44,Janice Hahn,"$723,717 ",Adam Shbeita,$0 ,More than 10:1
FL12,Gus Bilirakis,"$700,433 ",Unopposed,$0 ,More than 10:1
NC04,David Price,"$688,800 ",Paul Wright,$0 ,More than 10:1
TX29,Gene Green,"$687,925 ",James Stanczak,$0 ,More than 10:1
CA19,Zoe Lofgren,"$682,507 ",Robert Murray,$0 ,More than 10:1
MA07,Michael E. Capuano,"$653,147 ",Jason Philip Lowenthal,$0 ,More than 10:1
OH09,Marcy Kaptur,"$652,304 ",George A. Skalsky,$0 ,More than 10:1
NY08,Hakeem Jeffries,"$650,169 ",Alan Bellone,$0 ,More than 10:1
GA04,Hank Johnson,"$640,573 ",Raymond Davis,$0 ,More than 10:1
FL25,Mario Diaz-Balart,"$605,137 ",Unopposed,$0 ,More than 10:1
SC04,Trey Gowdy,"$588,778 ",Curtis E. McLaughlin,$0 ,More than 10:1
TN06,Diane Black,"$587,242 ",Mike Winton,$0 ,More than 10:1
NJ08,Albio Sires,"$581,949 ",Robert Thorne,$0 ,More than 10:1
AR03,Steve Womack,"$574,943 ",Grant Brand,$0 ,More than 10:1
NJ10,Donald M. Payne Jr,"$552,332 ",Dark Angel,$0 ,More than 10:1
TX30,Eddie Bernice Johnson,"$546,099 ",Eric Lemonte Williams,$0 ,More than 10:1
NY09,Yvette D. Clarke,"$534,975 ",Daniel J. Cavanagh,$0 ,More than 10:1
AZ06,David Schweikert,"$533,363 ",John W. Williamson,$0 ,More than 10:1
PA02,Chaka Fattah,"$524,913 ",Armond James,$0 ,More than 10:1
NY06,Grace Meng,"$518,819 ",Unopposed,$0 ,More than 10:1
TX02,Ted Poe,"$507,175 ",James B. Veasaw,$0 ,More than 10:1
OH07,Bob Gibbs,"$499,404 ",Dan Phillip,$0 ,More than 10:1
CA40,Lucille Roybal-Allard,"$498,231 ",David Sanchez,$0 ,More than 10:1
