,state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,spent,won,lost,years_in_service
0,IL06,2014.0,ROSKAM PETER,Republican Party,Incumbent,2643875.43,1137871.17,1443315.73,0.0,2543254.32,1143860.44,15607.71,727718.0,49.2,50.8,5.9,6.2,7.5,7.8,5.4,11.1,12.8,16.4,7.7,6.2,7.6,3.5,1.8,40.1,75.2,71.5,16.5,13.0,48.7,51.3,44.4,55.6,77.5,2.1,0.0,8.9,0.0,0.1,10.0,270685.0,4079869,1,0,7.0
1,TX05,2014.0,HENSARLING JEB HON.,Republican Party,Incumbent,2673006.24,1384157.24,1234898.0,0.0,3084464.9,1472329.77,0.0,726896.0,50.4,49.6,6.8,8.0,7.0,6.8,7.0,13.2,13.8,13.2,6.2,5.0,7.7,3.6,1.6,35.8,73.9,69.7,15.9,12.9,49.9,50.1,43.1,56.9,54.0,14.3,0.4,1.8,0.1,0.1,27.9,286382.0,3408251,1,0,11.0
2,LA01,2014.0,SCALISE STEVE MR.,Republican Party,Incumbent,1425973.57,567158.5,854339.38,0.0,1168222.75,858641.66,0.0,781134.0,48.6,51.4,6.1,6.8,6.3,6.4,6.7,14.1,12.1,14.1,7.1,5.9,8.6,4.4,1.6,37.9,77.1,73.2,17.7,14.5,48.0,52.0,44.3,55.7,74.1,12.5,1.1,2.0,0.0,0.2,8.8,330578.0,2735431,1,0,6.0
3,NY14,2014.0,CROWLEY JOSEPH,Democratic Party,Incumbent,2522320.53,623251.17,1286586.77,0.0,1946781.49,1364191.18,0.0,727544.0,51.3,48.7,6.3,5.5,5.4,5.2,7.6,18.6,14.7,13.8,5.6,4.9,6.6,4.0,1.8,35.7,79.7,76.2,15.1,12.3,50.9,49.1,40.1,59.9,22.8,9.7,0.0,16.0,0.0,0.4,49.8,262554.0,2668960,1,0,15.0
4,TX08,2014.0,BRADY KEVIN,Republican Party,Incumbent,2018388.2,439001.78,1223160.02,0.0,1010201.52,1325444.21,0.0,761764.0,51.0,49.0,6.8,7.4,7.6,7.2,6.3,12.8,13.9,13.8,6.4,5.6,7.6,3.6,1.1,36.1,73.8,69.6,15.6,12.3,51.0,49.0,45.9,54.1,65.5,8.4,0.1,2.2,0.0,0.0,22.4,290582.0,2184911,1,0,17.0
5,SC06,2014.0,CLYBURN JAMES E.,Democratic Party,Incumbent,1728269.63,329211.1,1394189.18,0.0,1497641.59,1463938.05,4559.0,678025.0,48.8,51.2,6.6,6.4,5.9,7.5,10.5,13.5,10.9,12.8,6.5,6.0,8.0,3.8,1.6,34.6,77.6,71.2,16.8,13.5,48.2,51.8,42.8,57.2,35.3,57.3,0.2,0.9,0.1,0.0,4.4,293018.0,2184698,1,0,21.0
6,MA05,2014.0,CLARK KATHERINE,Democratic Party,Incumbent,2013073.74,1462376.55,298939.31,250000.0,1539510.48,473563.26,250000.0,754065.0,48.2,51.8,5.9,5.4,5.6,6.2,7.1,15.8,13.5,14.5,6.9,4.9,7.6,4.2,2.4,38.0,79.8,75.4,17.0,14.2,47.5,52.5,41.4,58.6,74.4,4.4,0.1,9.7,0.0,0.4,8.8,301653.0,1943088,1,0,1.0
7,CA05,2014.0,THOMPSON MIKE MR.,Democratic Party,Incumbent,1423649.7,482796.64,917901.61,0.0,1083904.04,1656776.01,9562.42,715332.0,48.9,51.1,5.6,5.4,6.1,6.4,7.1,13.4,12.2,14.4,7.4,6.7,8.9,4.1,2.3,40.2,79.0,75.1,19.2,15.3,48.3,51.7,43.7,56.3,52.3,5.7,0.6,10.3,0.4,0.1,27.0,284588.0,1712297,1,0,15.0
8,TX13,2014.0,THORNBERRY MAC,Republican Party,Incumbent,1250533.94,726498.6,520004.86,0.0,1290583.94,421550.31,0.0,700874.0,50.7,49.3,6.9,7.4,6.8,7.3,7.0,13.6,12.1,12.6,6.8,5.2,7.8,4.7,1.7,35.7,74.8,70.3,17.2,14.3,50.4,49.6,44.1,55.9,65.0,5.3,0.4,1.8,0.1,0.0,25.6,302878.0,1693676,1,0,19.0
9,TX21,2014.0,SMITH LAMAR,Republican Party,Incumbent,1171015.43,543086.0,621379.13,0.0,1166601.3,880972.81,0.0,743443.0,48.6,51.4,5.4,5.2,6.0,6.6,7.9,15.9,12.3,13.6,6.3,6.3,8.3,4.1,2.1,37.9,79.7,75.0,18.0,14.5,48.2,51.8,45.1,54.9,64.8,3.4,0.1,2.9,0.1,0.0,26.9,339840.0,1567732,1,0,27.0
10,AL07,2014.0,SEWELL TERRI A.,Democratic Party,Incumbent,1261396.32,401717.58,859167.44,0.0,1148283.23,490726.96,0.0,666880.0,47.6,52.4,6.4,5.8,6.3,8.0,9.4,13.1,11.4,13.0,6.7,6.2,7.4,4.3,2.0,35.7,77.7,71.0,17.5,13.7,46.4,53.6,40.6,59.4,32.6,62.9,0.1,0.6,0.1,0.3,2.4,321857.0,1468012,1,0,3.0
11,CA34,2014.0,BECERRA XAVIER,Democratic Party,Incumbent,1357430.79,539493.23,790196.86,0.0,1066266.13,1192944.11,0.0,712425.0,51.9,48.1,6.4,6.1,5.6,6.9,8.5,18.6,15.7,12.5,5.4,4.1,5.8,3.1,1.3,33.7,77.9,73.1,12.7,10.2,52.0,48.0,42.2,57.8,9.8,4.2,0.1,18.3,0.3,0.3,65.9,249169.0,1465622,1,0,21.0
12,TN07,2014.0,BLACKBURN MARSHA MRS.,Republican Party,Incumbent,1602806.39,660271.94,934962.59,0.0,872265.2,1950696.8,7402.28,728823.0,49.8,50.2,6.6,7.4,7.2,6.7,6.8,12.3,13.5,13.8,6.3,5.8,8.0,4.1,1.4,37.1,74.7,70.4,16.8,13.5,49.2,50.8,44.9,55.1,81.6,9.4,0.2,1.6,0.0,0.2,4.7,307947.0,1444428,1,0,11.0
13,NY10,2014.0,NADLER JERROLD L. MR.,Democratic Party,Incumbent,873540.4,546496.91,324700.0,0.0,959686.26,368150.66,0.0,716682.0,49.7,50.3,6.9,5.4,4.6,4.8,6.9,21.3,14.4,12.0,6.0,5.1,7.1,3.6,2.0,35.0,80.4,77.1,15.8,12.7,48.9,51.1,42.6,57.4,63.8,4.1,0.2,17.9,0.0,0.3,12.1,357284.0,1276209,1,0,22.0
14,TX03,2014.0,JOHNSON SAM MR.,Republican Party,Incumbent,728552.37,338831.89,386968.02,0.0,979865.77,545673.56,0.0,765486.0,49.1,50.9,6.6,8.2,8.2,7.1,5.5,13.0,16.7,15.1,6.0,4.3,5.9,2.6,0.8,35.9,72.2,68.8,11.6,9.2,48.3,51.7,44.0,56.0,60.3,8.9,0.3,12.9,0.1,0.2,15.1,289221.0,1261811,1,0,23.0
15,OK03,2014.0,LUCAS FRANK D.,Republican Party,Incumbent,1045823.85,271104.58,768063.2,0.0,1019441.57,185050.98,0.0,767552.0,50.6,49.4,6.6,7.3,6.8,7.1,7.6,13.1,11.6,12.9,6.8,5.6,8.3,4.6,1.7,36.2,75.5,70.5,18.0,14.7,50.3,49.7,44.8,55.2,75.1,3.6,5.7,1.4,0.3,0.1,9.3,330151.0,1253709,1,0,20.0
16,MA01,2014.0,NEAL RICHARD E MR.,Democratic Party,Incumbent,1306965.42,239392.93,1044609.91,0.0,930161.74,2443397.68,0.0,729965.0,48.4,51.6,5.3,5.3,6.6,7.3,7.3,11.8,11.7,14.6,7.6,6.5,8.6,4.6,2.7,40.4,78.8,73.8,19.9,16.0,47.5,52.5,43.1,56.9,74.4,5.7,0.1,1.7,0.1,0.2,16.3,317802.0,1241116,1,0,25.0
17,TX33,2014.0,VEASEY MARC ALLISON MR.,Democratic Party,Incumbent,1132175.73,587158.67,535249.98,0.0,947623.83,204758.59,0.0,725761.0,50.4,49.6,9.6,9.8,8.4,8.0,8.2,15.4,14.0,11.5,4.4,3.2,4.6,2.2,0.7,28.9,67.2,62.5,9.4,7.6,50.6,49.4,42.8,57.2,15.8,16.8,0.1,2.1,0.0,0.2,64.6,241120.0,1224552,1,0,1.0
18,TX20,2014.0,CASTRO JOAQUIN MR.,Democratic Party,Incumbent,960028.24,488188.11,471800.0,0.0,750006.92,357075.55,0.0,752996.0,49.5,50.5,7.2,7.9,6.9,8.1,8.6,14.8,14.2,12.6,5.2,4.4,5.8,3.2,1.1,32.6,73.4,68.0,12.5,10.1,48.8,51.2,43.6,56.4,21.6,5.3,0.0,3.2,0.1,0.2,68.3,270108.0,1147967,1,0,1.0
19,OK04,2014.0,COLE TOM,Republican Party,Incumbent,995806.29,576779.58,406880.22,0.0,523720.7,1264715.76,0.0,776394.0,49.9,50.1,6.5,6.9,6.6,7.3,8.5,13.7,12.7,12.7,6.3,5.5,7.6,4.2,1.5,35.4,76.1,70.8,16.6,13.3,49.4,50.6,44.8,55.2,72.1,6.4,5.1,2.2,0.1,0.1,7.9,326592.0,1147516,1,0,11.0
20,GA13,2014.0,SCOTT DAVID ALBERT,Democratic Party,Incumbent,723468.47,81010.0,624490.0,10700.0,834854.04,72694.13,76570.0,718624.0,46.8,53.2,7.0,7.9,8.0,7.0,6.3,13.6,14.5,15.0,6.3,5.3,6.0,2.3,0.9,35.2,72.5,68.9,12.5,9.2,46.0,54.0,42.2,57.8,29.7,55.4,0.1,2.7,0.0,0.3,9.9,277894.0,1146654,1,0,11.0
21,MS02,2014.0,THOMPSON BENNIE G.,Democratic Party,Incumbent,890799.57,163228.0,726795.34,0.0,726550.75,1360538.7,0.0,726159.0,47.8,52.2,6.9,7.1,7.3,7.8,7.7,12.8,11.7,13.0,7.0,5.5,7.7,3.9,1.5,35.4,74.4,69.1,16.5,13.2,46.9,53.1,41.7,58.3,31.5,65.1,0.3,0.5,0.0,0.0,1.9,306376.0,1138673,1,0,21.0
22,PA11,2014.0,BARLETTA LOU,Republican Party,Incumbent,964035.12,497610.75,465888.61,0.0,697374.7,274557.44,181343.96,705647.0,49.2,50.8,5.3,5.7,5.5,6.8,6.8,12.2,11.6,14.5,7.5,6.6,9.5,5.6,2.5,42.1,79.6,75.3,21.4,17.6,48.7,51.3,43.1,56.9,86.1,4.8,0.2,1.4,0.0,0.1,5.9,321397.0,1101031,1,0,3.0
23,TX26,2014.0,BURGESS MICHAEL C. DR.,Republican Party,Incumbent,908879.99,199292.31,700153.38,0.0,795941.18,208373.67,0.0,768246.0,49.4,50.6,6.9,7.5,8.9,7.4,6.6,13.7,16.5,14.3,5.6,4.4,5.3,2.0,0.8,34.4,72.0,67.9,10.9,8.2,48.8,51.2,44.5,55.5,66.5,7.0,0.2,5.0,0.1,0.3,17.5,275107.0,1068922,1,0,11.0
24,GA03,2014.0,WESTMORELAND LYNN A.,Republican Party,Incumbent,757199.52,309339.0,434097.92,0.0,807326.11,374628.51,0.0,713143.0,48.3,51.7,6.0,7.6,7.3,7.7,6.5,12.3,13.2,14.5,6.6,5.2,7.9,3.9,1.3,37.2,74.6,70.2,16.4,13.1,47.3,52.7,43.5,56.5,66.4,23.7,0.2,1.9,0.0,0.4,5.4,284940.0,1037842,1,0,9.0
25,NY16,2014.0,ENGEL ELIOT L. REP.,Democratic Party,Incumbent,923965.0,597990.0,325975.0,0.0,648994.5,326256.79,0.0,730795.0,46.3,53.7,6.6,6.6,6.2,6.6,6.9,12.1,12.5,14.7,6.6,5.5,8.2,4.9,2.6,39.4,76.7,72.4,18.9,15.7,44.7,55.3,40.8,59.2,39.4,30.3,0.1,4.3,0.1,0.6,23.4,291686.0,1015031,1,0,25.0
26,SC02,2014.0,WILSON JOE THE HON.,Republican Party,Incumbent,823383.48,477786.67,328376.76,0.0,604868.68,223694.17,0.0,671907.0,48.9,51.1,6.0,6.7,6.6,7.0,6.8,13.0,12.9,14.0,7.0,6.2,8.4,4.0,1.5,38.5,76.9,72.3,17.6,13.9,48.4,51.6,43.7,56.3,67.6,23.2,0.2,1.8,0.0,0.1,5.3,289493.0,964753,1,0,13.0
27,OK02,2014.0,MULLIN MARKWAYNE MR.,Republican Party,Incumbent,942845.83,536190.0,406655.83,0.0,644571.98,321376.34,228000.0,747973.0,49.5,50.5,6.2,6.9,6.7,7.0,6.5,11.4,11.9,13.1,6.7,6.0,10.1,5.4,1.9,39.6,76.1,71.8,20.8,17.5,48.9,51.1,45.5,54.5,65.3,3.5,16.1,0.5,0.1,0.1,4.7,349765.0,955584,1,0,1.0
28,CA29,2014.0,CARDENAS TONY,Democratic Party,Incumbent,668353.27,365114.0,298302.36,0.0,647048.41,155591.93,13280.19,692267.0,49.5,50.5,6.7,6.9,6.8,7.2,8.5,16.7,15.2,13.3,5.4,4.4,5.2,2.6,1.1,33.0,75.2,70.9,11.2,8.9,49.0,51.0,42.4,57.6,17.8,3.8,0.1,8.0,0.1,0.2,68.7,207749.0,953305,1,0,1.0
29,NC09,2014.0,PITTENGER ROBERT M. THE HON.,Republican Party,Incumbent,856380.9,302629.99,367789.16,49501.51,776305.4,83233.91,663000.0,780211.0,48.6,51.4,6.2,7.3,7.5,6.3,5.2,13.1,16.2,15.5,6.2,5.0,6.9,3.4,1.2,38.2,74.8,71.8,14.3,11.5,47.5,52.5,42.2,57.8,73.2,12.5,0.3,4.2,0.0,0.1,7.8,318455.0,952894,1,0,1.0
30,TX28,2014.0,CUELLAR HENRY R.,Democratic Party,Incumbent,1174594.86,583741.44,569392.29,13500.0,655757.19,1264207.31,0.0,724080.0,49.0,51.0,9.0,8.4,8.8,8.4,7.3,12.6,13.3,12.3,4.7,4.6,6.2,3.3,1.1,31.4,68.4,63.8,13.5,10.6,48.7,51.3,45.1,54.9,16.8,3.3,0.2,0.6,0.1,0.1,77.8,240959.0,937077,1,0,9.0
31,OK05,2014.0,TURNER MICHAEL JEFFREY,Republican Party,Open,745070.0,20070.0,0.0,725000.0,732745.23,12324.77,250000.0,785441.0,49.0,51.0,7.7,7.3,6.8,6.3,7.4,15.4,12.3,12.5,6.6,5.1,7.2,3.7,1.7,34.4,74.6,70.5,15.6,12.6,48.2,51.8,43.0,57.0,58.9,13.5,4.2,2.8,0.1,0.1,15.5,338112.0,931475,1,0,11.0
32,OH10,2014.0,TURNER MICHAEL R REP,Republican Party,Incumbent,693687.73,361233.48,331903.96,0.0,592043.69,375315.01,6995.93,723987.0,48.2,51.8,5.9,6.4,6.0,7.0,7.5,12.7,11.5,13.7,7.4,5.8,8.7,5.0,2.4,38.9,77.9,73.0,19.5,16.0,47.5,52.5,42.5,57.5,75.6,16.8,0.1,2.0,0.0,0.2,2.5,333902.0,931475,1,0,11.0
33,AL04,2014.0,ADERHOLT ROBERT B. REP.,Republican Party,Incumbent,891358.59,336820.05,553128.84,0.0,690607.59,353632.82,0.0,685175.0,48.6,51.4,6.0,6.2,6.8,6.1,6.5,11.8,12.9,13.8,6.8,6.5,9.8,5.0,1.8,40.3,77.3,73.9,20.6,16.7,48.2,51.8,43.5,56.5,83.8,7.3,0.7,0.6,0.0,0.0,6.2,310413.0,909880,1,0,17.0
34,NY05,2014.0,MEEKS GREGORY W.,Democratic Party,Incumbent,689641.11,130482.63,557300.0,0.0,609425.13,110268.21,6000.0,768603.0,46.5,53.5,6.8,6.1,6.2,6.9,7.9,14.1,12.7,15.0,6.9,4.9,7.2,3.9,1.4,36.6,76.7,72.3,15.1,12.5,45.3,54.7,41.1,58.9,11.5,47.8,0.4,13.2,0.1,4.8,19.1,246762.0,882334,1,0,16.0
35,NY22,2014.0,HANNA RICHARD,Republican Party,Incumbent,1187127.44,406979.89,477153.79,295000.0,767005.53,457147.21,544000.0,713145.0,49.3,50.7,5.1,5.6,6.4,7.4,8.0,11.0,11.1,14.6,7.2,6.8,8.9,5.3,2.5,40.8,79.1,73.5,20.6,16.7,49.0,51.0,44.2,55.8,88.6,3.6,0.2,2.4,0.0,0.1,3.5,319248.0,877661,1,0,3.0
36,PA14,2014.0,DOYLE MIKE,Democratic Party,Incumbent,620036.2,133667.0,483150.0,0.0,584887.58,248730.34,0.0,704276.0,47.5,52.5,4.9,4.8,4.5,6.3,9.0,16.2,10.7,12.6,7.8,6.6,8.1,5.5,2.9,38.4,82.7,77.7,20.2,16.5,46.7,53.3,39.4,60.6,70.9,21.3,0.1,2.8,0.0,0.2,1.9,357993.0,861701,1,0,19.0
37,HI02,2014.0,GABBARD TULSI,Democratic Party,Incumbent,1344946.52,1008546.05,326257.0,0.0,692718.42,964611.4,9500.0,702028.0,50.7,49.3,6.7,6.1,6.8,6.0,7.7,13.9,12.1,12.5,6.9,6.6,8.5,4.0,2.0,37.0,76.6,73.1,18.1,14.5,50.5,49.5,45.8,54.2,29.6,1.5,0.2,24.7,10.4,0.0,11.3,270116.0,857985,1,0,1.0
38,FL27,2014.0,ROS-LEHTINEN ILEANA,Republican Party,Incumbent,761592.04,497986.23,252464.13,0.0,644048.0,1908139.07,0.0,719632.0,49.3,50.7,6.0,5.7,5.6,6.0,6.1,13.7,14.7,14.5,6.1,5.3,8.3,5.3,2.8,39.9,79.2,75.5,19.2,16.4,48.3,51.7,43.0,57.0,16.5,5.9,0.1,1.3,0.0,0.1,75.4,273792.0,850120,1,0,25.0
39,TX17,2014.0,FLORES BILL,Republican Party,Incumbent,1299631.51,530864.06,513426.85,250076.73,937578.51,568175.19,345373.3,726128.0,49.8,50.2,6.7,6.5,6.3,8.2,11.7,15.1,12.0,11.7,5.7,4.6,6.6,3.3,1.7,31.7,77.0,69.6,13.9,11.5,48.9,51.1,44.1,55.9,56.3,12.6,0.2,4.0,0.0,0.0,24.7,305402.0,809522,1,0,3.0
40,LA04,2014.0,FLEMING JOHN C MR. JR.,Republican Party,Incumbent,1301621.17,1110530.37,188975.0,0.0,690433.19,1092399.41,148735.08,762517.0,49.0,51.0,7.0,7.0,6.7,6.7,7.5,13.7,12.1,12.7,6.7,5.8,7.9,4.4,1.8,36.0,75.3,71.0,17.3,14.1,48.7,51.3,43.5,56.5,59.3,33.5,0.8,0.8,0.0,0.1,3.9,339222.0,803077,1,0,5.0
41,CA51,2014.0,VARGAS JUAN C.,Democratic Party,Incumbent,531963.22,90874.0,436856.86,0.0,473499.09,109703.44,175178.49,743982.0,50.8,49.2,8.1,7.9,7.2,8.6,9.3,15.3,12.4,11.3,5.1,4.5,5.6,3.5,1.1,30.4,71.7,66.3,13.0,10.3,50.4,49.6,42.8,57.2,13.1,6.7,0.5,7.7,0.3,0.1,69.9,218441.0,801518,1,0,1.0
42,MI10,2014.0,MILLER CANDICE S.,Republican Party,Incumbent,662093.97,244560.34,414560.44,0.0,469211.58,968850.99,0.0,711342.0,49.8,50.2,4.8,6.4,6.9,6.8,5.8,10.6,12.7,16.4,7.8,6.3,9.0,4.4,2.2,42.7,77.4,73.9,19.3,15.6,49.3,50.7,45.1,54.9,90.7,2.8,0.2,1.4,0.0,0.0,3.0,307729.0,795742,1,0,11.0
43,MD07,2014.0,CUMMINGS ELIJAH E,Democratic Party,Incumbent,696507.95,243020.3,445807.0,0.0,522292.05,954268.28,0.0,724692.0,47.8,52.2,6.4,6.1,6.1,6.9,7.5,14.3,11.6,14.8,6.9,5.9,7.6,4.0,1.9,37.1,77.6,72.9,16.8,13.4,46.8,53.2,40.4,59.6,33.7,54.0,0.3,6.3,0.0,0.3,3.6,320376.0,787933,1,0,18.0
44,MS03,2014.0,HARPER GREGG,Republican Party,Incumbent,856822.66,482151.0,341950.0,0.0,499791.59,660596.95,0.0,750332.0,48.2,51.8,6.5,6.8,6.9,7.4,6.9,12.5,13.4,12.7,6.4,6.1,8.0,4.5,1.9,37.2,75.8,70.8,18.0,14.4,47.4,52.6,42.3,57.7,60.1,35.1,0.9,0.8,0.0,0.0,2.2,325878.0,770335,1,0,5.0
45,MT01,2014.0,LEWIS JOHN,Democratic Party,Open,1030141.03,716353.98,296075.0,0.0,407430.22,622710.81,0.0,1015165.0,49.9,50.1,6.0,6.4,5.9,6.7,7.1,12.5,11.3,13.2,7.8,6.8,9.3,4.9,2.1,39.6,77.9,73.4,20.1,16.3,49.8,50.2,47.0,53.0,87.0,0.3,6.6,0.6,0.0,0.0,3.3,485767.0,745565,1,0,27.0
46,GA05,2014.0,LEWIS JOHN R.,Democratic Party,Incumbent,447674.78,84475.41,357674.95,0.0,445555.87,208841.3,0.0,719920.0,49.1,50.9,7.0,6.1,5.3,7.0,10.0,18.0,15.0,12.2,4.9,4.5,6.0,2.8,1.1,33.2,78.4,72.5,12.5,9.9,48.2,51.8,41.0,59.0,28.9,57.3,0.2,3.9,0.0,0.2,7.7,344729.0,745565,1,0,27.0
47,CA44,2014.0,HAHN JANICE,Democratic Party,Incumbent,525815.96,146533.51,379282.45,0.0,417619.64,146115.28,54728.03,706791.0,49.7,50.3,8.2,7.9,7.4,8.2,8.6,14.6,13.1,13.2,5.3,4.3,5.3,2.9,1.1,31.5,71.7,66.6,11.7,9.3,48.7,51.3,42.2,57.8,6.2,16.4,0.1,5.8,0.6,0.2,69.4,190356.0,723717,1,0,3.0
48,FL12,2014.0,BILIRAKIS GUS M,Republican Party,Incumbent,870347.94,368603.32,499850.0,0.0,501676.54,416639.83,0.0,719044.0,48.8,51.2,5.0,6.0,6.1,5.6,5.1,10.5,12.6,14.5,7.5,6.3,11.5,6.4,2.9,44.5,79.4,76.3,24.6,20.8,47.8,52.2,44.9,55.1,78.4,4.1,0.3,2.4,0.0,0.2,13.0,339767.0,700433,1,0,7.0
49,NC04,2014.0,PRICE DAVID E.,Democratic Party,Incumbent,543593.23,225450.52,316889.97,0.0,386142.87,223097.48,0.0,769734.0,48.5,51.5,6.5,6.4,6.5,7.0,10.0,17.4,14.4,11.6,5.8,4.1,5.9,3.0,1.3,32.7,77.4,71.5,12.5,10.2,48.1,51.9,41.5,58.5,48.5,30.9,0.3,5.5,0.1,0.4,11.7,332994.0,688800,1,0,17.0
50,CA19,2014.0,LOFGREN ZOE,Democratic Party,Incumbent,790665.99,477013.0,302461.5,0.0,456462.53,910167.71,0.0,746071.0,50.2,49.8,7.1,7.2,6.5,6.5,7.1,15.1,15.0,13.4,6.2,4.9,6.1,3.4,1.6,35.3,75.4,71.3,13.8,11.1,50.0,50.0,43.3,56.7,25.3,3.3,0.1,26.7,0.3,0.1,41.7,228926.0,682507,1,0,19.0
51,MA07,2014.0,CAPUANO MICHAEL E,Democratic Party,Incumbent,535086.62,158464.75,373254.47,0.0,389028.39,628541.25,0.0,751062.0,48.1,51.9,5.4,4.5,4.7,7.6,11.8,21.4,13.1,11.4,4.9,4.4,6.0,3.3,1.5,32.0,82.7,75.0,13.4,10.9,47.4,52.6,41.9,58.1,43.1,22.9,0.3,9.2,0.0,1.5,20.2,305507.0,653147,1,0,15.0
52,CA24,2014.0,ALLEN BRAD DR,Republican Party,Challenger,134121.0,40121.0,0.0,0.0,134118.03,1.82,103780.0,722008.0,50.6,49.4,5.8,5.6,5.8,8.2,11.1,12.5,11.2,12.3,6.8,5.6,8.2,4.6,2.3,35.9,79.2,71.8,18.1,15.0,50.5,49.5,44.8,55.2,55.8,1.8,0.4,4.4,0.1,0.1,35.2,277128.0,0,0,1,0.0
53,OH09,2014.0,KAPTUR MARCY C HON.,Democratic Party,Incumbent,600775.46,157765.46,442810.0,0.0,339288.23,390182.74,0.0,715447.0,48.7,51.3,5.9,6.2,6.4,6.5,7.4,13.5,12.2,14.4,7.2,5.8,7.7,4.6,2.2,38.4,77.7,73.2,17.7,14.5,47.9,52.1,41.8,58.2,70.8,14.8,0.2,1.0,0.0,0.2,10.2,348614.0,652304,1,0,31.0
54,NY08,2014.0,JEFFRIES HAKEEM,Democratic Party,Incumbent,858859.25,502177.65,356390.0,0.0,396540.13,506969.18,0.0,737529.0,45.8,54.2,6.7,5.9,6.4,6.1,7.6,15.6,13.2,13.7,6.2,5.4,7.0,4.3,1.9,36.0,77.4,73.2,16.6,13.2,44.4,55.6,38.1,61.9,21.8,54.0,0.3,5.0,0.0,0.8,16.8,302168.0,650169,1,0,1.0
55,FL25,2014.0,DIAZ-BALART MARIO,Republican Party,Incumbent,701216.12,283253.6,392976.31,0.0,433932.23,565755.06,0.0,740305.0,48.9,51.1,5.5,5.4,6.4,6.4,7.5,13.0,14.1,15.4,5.7,5.1,8.6,5.3,1.7,39.5,78.7,74.8,18.3,15.5,48.5,51.5,43.3,56.7,18.5,7.0,0.1,1.8,0.0,0.3,72.1,261732.0,605137,1,0,11.0
56,SC04,2014.0,GOWDY TREY,Republican Party,Incumbent,546512.32,213203.42,333308.9,0.0,405150.82,412318.18,0.0,690796.0,48.1,51.9,6.4,6.8,6.5,6.9,7.2,12.9,13.0,13.9,6.8,5.5,8.3,4.1,1.7,37.8,76.1,71.6,17.1,14.1,47.4,52.6,42.3,57.7,68.4,19.2,0.3,2.4,0.1,0.2,8.2,292930.0,588778,1,0,3.0
57,TN06,2014.0,BLACK DIANE L MRS.,Republican Party,Incumbent,983264.44,332153.2,636582.37,0.0,375270.37,927539.4,0.0,724274.0,49.4,50.6,5.7,6.4,6.6,6.5,6.5,11.3,12.7,14.5,6.7,6.4,9.9,4.9,1.7,40.8,77.1,73.5,20.6,16.5,48.5,51.5,45.0,55.0,89.2,4.6,0.1,0.8,0.1,0.1,3.8,309958.0,587242,1,0,3.0
58,NJ08,2014.0,SIRES ALBIO,Democratic Party,Incumbent,424359.04,190359.04,233500.0,0.0,488896.05,95484.87,0.0,758406.0,49.8,50.2,7.3,5.7,5.2,5.4,7.3,20.3,15.5,13.3,5.7,4.3,5.5,3.0,1.4,34.3,78.6,75.1,12.1,9.9,49.4,50.6,42.2,57.8,25.5,8.4,0.1,8.2,0.0,1.5,55.1,302789.0,581949,1,0,8.0
59,AR03,2014.0,WOMACK STEVE,Republican Party,Incumbent,656399.98,251200.0,404918.28,0.0,368125.13,695384.08,0.0,757765.0,49.5,50.5,7.1,7.7,6.8,6.7,8.0,13.8,12.8,12.5,5.9,5.5,7.6,4.1,1.5,34.9,74.7,70.1,16.1,13.2,49.0,51.0,44.5,55.5,76.2,3.3,1.1,2.8,0.0,0.2,13.6,320134.0,574943,1,0,3.0
60,TX30,2014.0,JOHNSON EDDIE BERNICE,Democratic Party,Incumbent,419713.66,142963.66,272250.0,0.0,314099.68,173434.44,0.0,746336.0,48.9,51.1,8.3,8.3,7.6,6.7,7.3,15.5,13.2,13.1,5.9,4.8,5.5,2.8,1.0,32.6,71.6,67.8,11.9,9.3,47.9,52.1,39.8,60.2,16.1,42.7,0.1,1.7,0.0,0.1,37.9,276320.0,546099,1,0,21.0
61,NY09,2014.0,CLARKE YVETTE D,Democratic Party,Incumbent,430875.65,157324.0,269715.0,0.0,361481.96,99228.77,77748.62,735408.0,45.3,54.7,7.1,6.0,5.9,6.0,7.6,16.8,13.4,12.7,6.3,5.6,7.4,3.6,1.6,35.4,77.4,73.4,15.9,12.6,44.3,55.7,40.0,60.0,31.3,48.6,0.2,7.4,0.0,0.5,10.5,293079.0,534975,1,0,7.0
